doc_id,company_name,stock_code,report_year,announcement_title,announcement_date,cninfo_url,pdf_url,local_pdf_path,is_revision,download_status,error_message
1219487237,万科A,000002,2023,2023年年度报告,2024-03-29,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=000002&announcementId=1219487237&orgId=gssz0000002,https://static.cninfo.com.cn/finalpage/2024-03-29/1219487237.PDF,data/pdf/万科A_2023_1219487237.pdf,False,success,
1219740785,保利发展,600048,2023,保利发展控股集团股份有限公司2023年年度报告,2024-04-23,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=600048&announcementId=1219740785&orgId=9900000161,https://static.cninfo.com.cn/finalpage/2024-04-23/1219740785.PDF,data/pdf/保利发展_2023_1219740785.pdf,False,success,
1219330022,招商蛇口,001979,2023,2023年年度报告,2024-03-19,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=001979&announcementId=1219330022&orgId=GD014107,https://static.cninfo.com.cn/finalpage/2024-03-19/1219330022.PDF,data/pdf/招商蛇口_2023_1219330022.pdf,False,success,
1219307600,金地集团,600383,2023,2023年年度报告,2024-03-15,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=600383&announcementId=1219307600&orgId=gssh0600383,https://static.cninfo.com.cn/finalpage/2024-03-15/1219307600.PDF,data/pdf/金地集团_2023_1219307600.pdf,False,success,
1219860111,滨江集团,002244,2023,2023年年度报告,2024-04-27,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=002244&announcementId=1219860111&orgId=9900004730,https://static.cninfo.com.cn/finalpage/2024-04-27/1219860111.PDF,data/pdf/滨江集团_2023_1219860111.pdf,False,success,
1219875404,华发股份,600325,2023,华发股份2023年年度报告,2024-04-27,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=600325&announcementId=1219875404&orgId=gssh0600325,https://static.cninfo.com.cn/finalpage/2024-04-27/1219875404.PDF,data/pdf/华发股份_2023_1219875404.pdf,False,success,
1219446608,新城控股,601155,2023,新城控股2023年年度报告,2024-03-29,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=601155&announcementId=1219446608&orgId=GD012027,https://static.cninfo.com.cn/finalpage/2024-03-29/1219446608.PDF,data/pdf/新城控股_2023_1219446608.pdf,False,success,
1219689383,首开股份,600376,2023,首开股份2023年年度报告,2024-04-20,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=600376&announcementId=1219689383&orgId=gssh0600376,https://static.cninfo.com.cn/finalpage/2024-04-20/1219689383.PDF,data/pdf/首开股份_2023_1219689383.pdf,False,success,
1222823303,陆家嘴,600663,2023,2023年年度报告,2024-04-30,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=600663&announcementId=1222823303,https://static.cninfo.com.cn/finalpage/2024-04-30/1222823303.pdf,data/pdf/陆家嘴_2023_1222823303.pdf,False,success,
1219596576,上海临港,600848,2023,2023年年度报告,2024-04-13,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=600848&announcementId=1219596576,https://static.cninfo.com.cn/finalpage/2024-04-13/1219596576.PDF,data/pdf/上海临港_2023_1219596576.pdf,False,success,
1219463872,张江高科,600895,2023,2023年年度报告,2024-03-30,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=600895&announcementId=1219463872,https://static.cninfo.com.cn/finalpage/2024-03-30/1219463872.PDF,data/pdf/张江高科_2023_1219463872.pdf,False,success,
1219840458,外高桥,600648,2023,2023年年度报告,2024-04-26,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=600648&announcementId=1219840458,https://static.cninfo.com.cn/finalpage/2024-04-26/1219840458.PDF,data/pdf/外高桥_2023_1219840458.pdf,False,success,
